"No.","Time","Source","Destination","Protocol","Length","Info"
"983","22.421886794","2803:f800:53::4","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","UDP","651","443  >  43189 Len=589"
"984","22.425725522","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2600:9000:274d:5400:7:49a5:5fd5:9881","TCP","94","48176  >  443 [SYN] Seq=0 Win=64800 Len=0 MSS=1440 SACK_PERM TSval=350032511 TSecr=0 WS=1024"
"985","22.442066829","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2803:f800:53::4","UDP","107","43189  >  443 Len=45"
"986","22.466452312","2a00:1450:400c:c06::93","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","QUIC","95","Protected Payload (KP0), DCID=1a1ccc"
"987","22.466774583","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2a00:1450:400c:c06::93","QUIC","95","Protected Payload (KP0), DCID=e2f9b3f122ebd1fb"
"988","22.471095657","2600:9000:274d:5400:7:49a5:5fd5:9881","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TCP","94","443  >  48176 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1220 SACK_PERM TSval=3994093210 TSecr=350032511 WS=512"
"989","22.471151037","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2600:9000:274d:5400:7:49a5:5fd5:9881","TCP","86","48176  >  443 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=350032557 TSecr=3994093210"
"990","22.472598360","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2600:9000:274d:5400:7:49a5:5fd5:9881","TLSv1.3","1985","Client Hello (SNI=www.amazon.com)"
"991","22.491382702","2a00:1450:400c:c06::93","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","QUIC","1289","Protected Payload (KP0), DCID=1a1ccc"
"992","22.491383218","2a00:1450:400c:c06::93","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","QUIC","933","Protected Payload (KP0), DCID=1a1ccc"
"993","22.491945311","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2a00:1450:400c:c06::93","QUIC","100","Protected Payload (KP0), DCID=e2f9b3f122ebd1fb"
"994","22.492972975","2a00:1450:400c:c06::93","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","QUIC","1288","Protected Payload (KP0), DCID=1a1ccc"
"995","22.492973391","2a00:1450:400c:c06::93","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","QUIC","682","Protected Payload (KP0), DCID=1a1ccc"
"996","22.493298035","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2a00:1450:400c:c06::93","QUIC","95","Protected Payload (KP0), DCID=e2f9b3f122ebd1fb"
"997","22.518008030","2600:9000:274d:5400:7:49a5:5fd5:9881","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TCP","86","443  >  48176 [ACK] Seq=1 Ack=1209 Win=68096 Len=0 TSval=3994093263 TSecr=350032558"
"998","22.519292598","2600:9000:274d:5400:7:49a5:5fd5:9881","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TCP","86","443  >  48176 [ACK] Seq=1 Ack=1900 Win=70656 Len=0 TSval=3994093264 TSecr=350032558"
"999","22.519986777","2600:9000:274d:5400:7:49a5:5fd5:9881","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TCP","1294","443  >  48176 [ACK] Seq=1 Ack=1900 Win=70656 Len=1208 TSval=3994093264 TSecr=350032558 [TCP PDU reassembled in 1000]"
"1000","22.519987127","2600:9000:274d:5400:7:49a5:5fd5:9881","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TLSv1.3","1294","Server Hello, Change Cipher Spec, Application Data"
"1001","22.519987210","2600:9000:274d:5400:7:49a5:5fd5:9881","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TCP","1294","443  >  48176 [PSH, ACK] Seq=2417 Ack=1900 Win=70656 Len=1208 TSval=3994093264 TSecr=350032558 [TCP PDU reassembled in 1008]"
"1002","22.519987354","2600:9000:274d:5400:7:49a5:5fd5:9881","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TCP","1294","443  >  48176 [ACK] Seq=3625 Ack=1900 Win=70656 Len=1208 TSval=3994093264 TSecr=350032558 [TCP PDU reassembled in 1008]"
"1003","22.520025182","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2600:9000:274d:5400:7:49a5:5fd5:9881","TCP","86","48176  >  443 [ACK] Seq=1900 Ack=1209 Win=64512 Len=0 TSval=350032606 TSecr=3994093264"
"1004","22.520050212","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2600:9000:274d:5400:7:49a5:5fd5:9881","TCP","86","48176  >  443 [ACK] Seq=1900 Ack=2417 Win=63488 Len=0 TSval=350032606 TSecr=3994093264"
"1005","22.520058401","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2600:9000:274d:5400:7:49a5:5fd5:9881","TCP","86","48176  >  443 [ACK] Seq=1900 Ack=3625 Win=62464 Len=0 TSval=350032606 TSecr=3994093264"
"1006","22.520065462","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2600:9000:274d:5400:7:49a5:5fd5:9881","TCP","86","48176  >  443 [ACK] Seq=1900 Ack=4833 Win=61440 Len=0 TSval=350032606 TSecr=3994093264"
"1007","22.522952037","2600:9000:274d:5400:7:49a5:5fd5:9881","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TCP","1294","443  >  48176 [PSH, ACK] Seq=4833 Ack=1900 Win=70656 Len=1208 TSval=3994093264 TSecr=350032558 [TCP PDU reassembled in 1008]"
"1008","22.522952565","2600:9000:274d:5400:7:49a5:5fd5:9881","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TLSv1.3","678","Application Data, Application Data, Application Data"
"1009","22.522998443","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2600:9000:274d:5400:7:49a5:5fd5:9881","TCP","86","48176  >  443 [ACK] Seq=1900 Ack=6041 Win=60416 Len=0 TSval=350032609 TSecr=3994093264"
"1010","22.523023802","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2600:9000:274d:5400:7:49a5:5fd5:9881","TCP","86","48176  >  443 [ACK] Seq=1900 Ack=6633 Win=60416 Len=0 TSval=350032609 TSecr=3994093265"
"1011","22.530562696","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2600:9000:274d:5400:7:49a5:5fd5:9881","TLSv1.3","150","Change Cipher Spec, Application Data"
"1012","22.531508547","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2600:9000:274d:5400:7:49a5:5fd5:9881","TLSv1.3","178","Application Data"
"1013","22.531568008","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2600:9000:274d:5400:7:49a5:5fd5:9881","TLSv1.3","914","Application Data"
"1014","22.538804377","2a00:1450:400c:c06::93","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","QUIC","91","Protected Payload (KP0), DCID=1a1ccc"
"1015","22.563054829","2603:1006:1:a::2","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","QUIC","102","Protected Payload (KP0), DCID=11d2b1"
"1016","22.563350393","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2603:1006:1:a::2","QUIC","99","Protected Payload (KP0), DCID=aa00000002024db0cb0e025cd00e"
"1017","22.563558738","2603:1006:1:a::2","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","QUIC","96","Protected Payload (KP0), DCID=11d2b1"
"1018","22.563559071","2603:1006:1:a::2","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","QUIC","92","Protected Payload (KP0), DCID=11d2b1"
"1019","22.563559154","2603:1006:1:a::2","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","QUIC","92","Protected Payload (KP0), DCID=11d2b1"
"1020","22.563833488","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2603:1006:1:a::2","QUIC","99","Protected Payload (KP0), DCID=aa00000002024db0cb0e025cd00e"
"1021","22.574908499","2600:9000:274d:5400:7:49a5:5fd5:9881","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TCP","86","443  >  48176 [ACK] Seq=6633 Ack=1964 Win=70656 Len=0 TSval=3994093320 TSecr=350032616"
"1022","22.576586946","2600:9000:274d:5400:7:49a5:5fd5:9881","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TLSv1.3","265","Application Data"
"1023","22.577128875","2600:9000:274d:5400:7:49a5:5fd5:9881","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TLSv1.3","148","Application Data"
"1024","22.577315526","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2600:9000:274d:5400:7:49a5:5fd5:9881","TCP","86","48176  >  443 [ACK] Seq=2884 Ack=6874 Win=60416 Len=0 TSval=350032663 TSecr=3994093320"
"1025","22.577402014","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2600:9000:274d:5400:7:49a5:5fd5:9881","TLSv1.3","117","Application Data"
"1026","22.578528552","2600:9000:274d:5400:7:49a5:5fd5:9881","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TCP","86","443  >  48176 [ACK] Seq=6874 Ack=2884 Win=73216 Len=0 TSval=3994093323 TSecr=350032617"
"1027","22.578528965","2600:9000:274d:5400:7:49a5:5fd5:9881","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TLSv1.3","117","Application Data"
"1028","22.618880908","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2600:9000:274d:5400:7:49a5:5fd5:9881","TCP","86","48176  >  443 [ACK] Seq=2915 Ack=6905 Win=60416 Len=0 TSval=350032705 TSecr=3994093323"
"1029","22.669173196","2600:9000:274d:5400:7:49a5:5fd5:9881","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TCP","86","443  >  48176 [ACK] Seq=6905 Ack=2915 Win=73216 Len=0 TSval=3994093413 TSecr=350032663"
"1030","22.752421633","2603:1006:1:a::2","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","QUIC","932","Protected Payload (KP0), DCID=11d2b1"
"1031","22.752422163","2603:1006:1:a::2","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","QUIC","305","Protected Payload (KP0), DCID=11d2b1"
"1032","22.753390170","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2603:1006:1:a::2","QUIC","104","Protected Payload (KP0), DCID=aa00000002024db0cb0e025cd00e"
"1033","22.937796100","2600:9000:274d:5400:7:49a5:5fd5:9881","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TLSv1.3","1749","Application Data"
"1034","22.937796573","2600:9000:274d:5400:7:49a5:5fd5:9881","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TCP","2502","443  >  48176 [PSH, ACK] Seq=8568 Ack=2915 Win=73216 Len=2416 TSval=3994093641 TSecr=350032663 [TCP PDU reassembled in 1036]"
"1035","22.937796651","2600:9000:274d:5400:7:49a5:5fd5:9881","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TCP","2502","443  >  48176 [PSH, ACK] Seq=10984 Ack=2915 Win=73216 Len=2416 TSval=3994093642 TSecr=350032663 [TCP PDU reassembled in 1036]"
"1036","22.937796786","2600:9000:274d:5400:7:49a5:5fd5:9881","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TLSv1.3","403","Application Data"
"1037","22.937846004","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2600:9000:274d:5400:7:49a5:5fd5:9881","TCP","86","48176  >  443 [ACK] Seq=2915 Ack=8568 Win=59392 Len=0 TSval=350033023 TSecr=3994093640"
"1038","22.937889211","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2600:9000:274d:5400:7:49a5:5fd5:9881","TCP","86","48176  >  443 [ACK] Seq=2915 Ack=10984 Win=57344 Len=0 TSval=350033024 TSecr=3994093641"
"1039","22.937897926","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2600:9000:274d:5400:7:49a5:5fd5:9881","TCP","86","48176  >  443 [ACK] Seq=2915 Ack=13400 Win=55296 Len=0 TSval=350033024 TSecr=3994093642"
"1040","22.937906546","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2600:9000:274d:5400:7:49a5:5fd5:9881","TCP","86","48176  >  443 [ACK] Seq=2915 Ack=13717 Win=55296 Len=0 TSval=350033024 TSecr=3994093643"
"1041","22.945262454","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2600:9000:274d:5400:7:49a5:5fd5:9881","QUIC","1294","Initial, DCID=113981943d53c6efeb7680082a, SCID=1d31a3, PKN: 0, CRYPTO, CRYPTO"
"1042","22.945325101","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2600:9000:274d:5400:7:49a5:5fd5:9881","QUIC","1294","Initial, DCID=113981943d53c6efeb7680082a, SCID=1d31a3, PKN: 1, CRYPTO"
"1043","22.951712499","2603:1006:1:a::2","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","QUIC","94","Protected Payload (KP0), DCID=11d2b1"
"1044","22.951990715","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2603:1006:1:a::2","QUIC","99","Protected Payload (KP0), DCID=aa00000002024db0cb0e025cd00e"
"1045","22.980921393","2600:9000:274d:5400:7:49a5:5fd5:9881","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TCP","1294","443  >  48176 [ACK] Seq=13717 Ack=2915 Win=73216 Len=1208 TSval=3994093726 TSecr=350033024 [TCP PDU reassembled in 1053]"
"1046","22.980962905","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2600:9000:274d:5400:7:49a5:5fd5:9881","TCP","86","48176  >  443 [ACK] Seq=2915 Ack=14925 Win=54272 Len=0 TSval=350033067 TSecr=3994093726"
"1047","22.982036833","2600:9000:274d:5400:7:49a5:5fd5:9881","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TCP","1294","443  >  48176 [PSH, ACK] Seq=14925 Ack=2915 Win=73216 Len=1208 TSval=3994093726 TSecr=350033024 [TCP PDU reassembled in 1053]"
"1048","22.982063112","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2600:9000:274d:5400:7:49a5:5fd5:9881","TCP","86","48176  >  443 [ACK] Seq=2915 Ack=16133 Win=53248 Len=0 TSval=350033068 TSecr=3994093726"
"1049","22.984262395","2600:9000:274d:5400:7:49a5:5fd5:9881","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TCP","2502","443  >  48176 [PSH, ACK] Seq=16133 Ack=2915 Win=73216 Len=2416 TSval=3994093726 TSecr=350033024 [TCP PDU reassembled in 1053]"
"1050","22.984262704","2600:9000:274d:5400:7:49a5:5fd5:9881","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TCP","2502","443  >  48176 [PSH, ACK] Seq=18549 Ack=2915 Win=73216 Len=2416 TSval=3994093728 TSecr=350033024 [TCP PDU reassembled in 1053]"
"1051","22.984292078","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2600:9000:274d:5400:7:49a5:5fd5:9881","TCP","86","48176  >  443 [ACK] Seq=2915 Ack=18549 Win=51200 Len=0 TSval=350033070 TSecr=3994093726"
"1052","22.984312855","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2600:9000:274d:5400:7:49a5:5fd5:9881","TCP","86","48176  >  443 [ACK] Seq=2915 Ack=20965 Win=49152 Len=0 TSval=350033070 TSecr=3994093728"
"1053","22.985757953","2600:9000:274d:5400:7:49a5:5fd5:9881","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TLSv1.3","2502","Application Data"
"1054","22.985758216","2600:9000:274d:5400:7:49a5:5fd5:9881","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TCP","2502","443  >  48176 [PSH, ACK] Seq=23381 Ack=2915 Win=73216 Len=2416 TSval=3994093730 TSecr=350033024 [TCP PDU reassembled in 1058]"
"1055","22.985786268","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2600:9000:274d:5400:7:49a5:5fd5:9881","TCP","86","48176  >  443 [ACK] Seq=2915 Ack=23381 Win=47104 Len=0 TSval=350033071 TSecr=3994093729"
"1056","22.985804804","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2600:9000:274d:5400:7:49a5:5fd5:9881","TCP","86","48176  >  443 [ACK] Seq=2915 Ack=25797 Win=45056 Len=0 TSval=350033071 TSecr=3994093730"
"1057","22.988644073","2600:9000:274d:5400:7:49a5:5fd5:9881","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TCP","2502","443  >  48176 [PSH, ACK] Seq=25797 Ack=2915 Win=73216 Len=2416 TSval=3994093731 TSecr=350033024 [TCP PDU reassembled in 1058]"
"1058","22.988644380","2600:9000:274d:5400:7:49a5:5fd5:9881","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TLSv1.3","2252","Application Data"
"1059","22.988672187","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2600:9000:274d:5400:7:49a5:5fd5:9881","TCP","86","48176  >  443 [ACK] Seq=2915 Ack=28213 Win=43008 Len=0 TSval=350033074 TSecr=3994093731"
"1060","22.988693167","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2600:9000:274d:5400:7:49a5:5fd5:9881","TCP","86","48176  >  443 [ACK] Seq=2915 Ack=30379 Win=40960 Len=0 TSval=350033074 TSecr=3994093733"
"1061","22.991330128","2600:9000:274d:5400:7:49a5:5fd5:9881","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","QUIC","1262","Initial, DCID=1d31a3, SCID=21181100610d2ad986e6ec96c8319b1dcdce7631, PKN: 0, ACK, PADDING"
"1062","22.994871126","2600:9000:274d:5400:7:49a5:5fd5:9881","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","QUIC","1262","Initial, DCID=1d31a3, SCID=21181100610d2ad986e6ec96c8319b1dcdce7631, PKN: 1, ACK, CRYPTO"
"1063","22.994871512","2600:9000:274d:5400:7:49a5:5fd5:9881","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","QUIC","1262","Handshake, DCID=1d31a3, SCID=21181100610d2ad986e6ec96c8319b1dcdce7631"
"1064","22.995415905","2600:9000:274d:5400:7:49a5:5fd5:9881","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","QUIC","1262","Handshake, DCID=1d31a3, SCID=21181100610d2ad986e6ec96c8319b1dcdce7631"
"1065","22.995416007","2600:9000:274d:5400:7:49a5:5fd5:9881","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","QUIC","1262","Handshake, DCID=1d31a3, SCID=21181100610d2ad986e6ec96c8319b1dcdce7631"
"1066","22.995416086","2600:9000:274d:5400:7:49a5:5fd5:9881","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","QUIC","1262","Handshake, DCID=1d31a3, SCID=21181100610d2ad986e6ec96c8319b1dcdce7631"
"1067","22.995416225","2600:9000:274d:5400:7:49a5:5fd5:9881","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","QUIC","548","Handshake, DCID=1d31a3, SCID=21181100610d2ad986e6ec96c8319b1dcdce7631"
"1068","22.997615258","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2600:9000:274d:5400:7:49a5:5fd5:9881","QUIC","173","Handshake, DCID=21181100610d2ad986e6ec96c8319b1dcdce7631, SCID=1d31a3"
"1069","22.998308708","2600:9000:274d:5400:7:49a5:5fd5:9881","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TCP","2502","443  >  48176 [PSH, ACK] Seq=30379 Ack=2915 Win=73216 Len=2416 TSval=3994093743 TSecr=350033024 [TCP PDU reassembled in 1075]"
"1070","22.998345259","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2600:9000:274d:5400:7:49a5:5fd5:9881","TCP","86","48176  >  443 [ACK] Seq=2915 Ack=32795 Win=38912 Len=0 TSval=350033084 TSecr=3994093743"
"1071","23.000171962","2600:9000:274d:5400:7:49a5:5fd5:9881","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TCP","2502","443  >  48176 [PSH, ACK] Seq=32795 Ack=2915 Win=73216 Len=2416 TSval=3994093744 TSecr=350033024 [TCP PDU reassembled in 1075]"
"1072","23.000172310","2600:9000:274d:5400:7:49a5:5fd5:9881","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TCP","2502","443  >  48176 [PSH, ACK] Seq=35211 Ack=2915 Win=73216 Len=2416 TSval=3994093745 TSecr=350033024 [TCP PDU reassembled in 1075]"
"1073","23.000201893","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2600:9000:274d:5400:7:49a5:5fd5:9881","TCP","86","48176  >  443 [ACK] Seq=2915 Ack=35211 Win=36864 Len=0 TSval=350033086 TSecr=3994093744"
"1074","23.000221619","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2600:9000:274d:5400:7:49a5:5fd5:9881","TCP","86","48176  >  443 [ACK] Seq=2915 Ack=37627 Win=34816 Len=0 TSval=350033086 TSecr=3994093745"
"1075","23.002971169","2600:9000:274d:5400:7:49a5:5fd5:9881","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TLSv1.3","2502","Application Data"
"1076","23.002998989","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2600:9000:274d:5400:7:49a5:5fd5:9881","TCP","86","48176  >  443 [ACK] Seq=2915 Ack=40043 Win=32768 Len=0 TSval=350033089 TSecr=3994093746"
"1077","23.004324357","2600:9000:274d:5400:7:49a5:5fd5:9881","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TCP","2502","443  >  48176 [PSH, ACK] Seq=40043 Ack=2915 Win=73216 Len=2416 TSval=3994093747 TSecr=350033024 [TCP PDU reassembled in 1082]"
"1078","23.004458426","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2600:9000:274d:5400:7:49a5:5fd5:9881","TCP","86","48176  >  443 [ACK] Seq=2915 Ack=42459 Win=31744 Len=0 TSval=350033090 TSecr=3994093747"
"1079","23.005706581","2600:9000:274d:5400:7:49a5:5fd5:9881","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TCP","2502","443  >  48176 [PSH, ACK] Seq=42459 Ack=2915 Win=73216 Len=2416 TSval=3994093748 TSecr=350033024 [TCP PDU reassembled in 1082]"
"1080","23.005706978","2600:9000:274d:5400:7:49a5:5fd5:9881","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TCP","2502","443  >  48176 [PSH, ACK] Seq=44875 Ack=2915 Win=73216 Len=2416 TSval=3994093750 TSecr=350033024 [TCP PDU reassembled in 1082]"
"1081","23.005847058","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2600:9000:274d:5400:7:49a5:5fd5:9881","TCP","86","48176  >  443 [ACK] Seq=2915 Ack=47291 Win=31744 Len=0 TSval=350033091 TSecr=3994093748"
"1082","23.009012951","2600:9000:274d:5400:7:49a5:5fd5:9881","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TLSv1.3","240","Application Data"
"1083","23.009145410","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2600:9000:274d:5400:7:49a5:5fd5:9881","TCP","86","48176  >  443 [ACK] Seq=2915 Ack=47445 Win=31744 Len=0 TSval=350033095 TSecr=3994093751"
"1084","23.020657730","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2803:f800:53::4","UDP","312","43189  >  443 Len=250"
"1085","23.021120486","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2803:f800:53::4","UDP","312","43189  >  443 Len=250"
"1086","23.030127555","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2803:f800:53::4","UDP","524","43189  >  443 Len=462"
"1087","23.030513896","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2803:f800:53::4","UDP","312","43189  >  443 Len=250"
"1088","23.031056784","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2803:f800:53::4","UDP","312","43189  >  443 Len=250"
"1089","23.066548928","2803:f800:53::4","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","UDP","89","443  >  43189 Len=27"
"1090","23.066549437","2600:9000:274d:5400:7:49a5:5fd5:9881","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TCP","1294","443  >  48176 [ACK] Seq=47445 Ack=2915 Win=73216 Len=1208 TSval=3994093812 TSecr=350033095 [TCP PDU reassembled in 1103]"
"1091","23.068887180","2600:9000:274d:5400:7:49a5:5fd5:9881","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TCP","1294","443  >  48176 [PSH, ACK] Seq=48653 Ack=2915 Win=73216 Len=1208 TSval=3994093812 TSecr=350033095 [TCP PDU reassembled in 1103]"
"1092","23.068887517","2600:9000:274d:5400:7:49a5:5fd5:9881","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TCP","2502","443  >  48176 [PSH, ACK] Seq=49861 Ack=2915 Win=73216 Len=2416 TSval=3994093812 TSecr=350033095 [TCP PDU reassembled in 1103]"
"1093","23.068887620","2803:f800:53::4","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","UDP","651","443  >  43189 Len=589"
"1094","23.068922833","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2600:9000:274d:5400:7:49a5:5fd5:9881","TCP","86","48176  >  443 [ACK] Seq=2915 Ack=49861 Win=34816 Len=0 TSval=350033155 TSecr=3994093812"
"1095","23.068948271","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2600:9000:274d:5400:7:49a5:5fd5:9881","TCP","86","48176  >  443 [ACK] Seq=2915 Ack=52277 Win=39936 Len=0 TSval=350033155 TSecr=3994093812"
"1096","23.069371029","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2803:f800:53::4","UDP","106","43189  >  443 Len=44"
"1097","23.070064546","2600:9000:274d:5400:7:49a5:5fd5:9881","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TCP","2502","443  >  48176 [PSH, ACK] Seq=52277 Ack=2915 Win=73216 Len=2416 TSval=3994093814 TSecr=350033095 [TCP PDU reassembled in 1103]"
"1098","23.070092276","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2600:9000:274d:5400:7:49a5:5fd5:9881","TCP","86","48176  >  443 [ACK] Seq=2915 Ack=54693 Win=44032 Len=0 TSval=350033156 TSecr=3994093814"
"1099","23.072497076","2600:9000:274d:5400:7:49a5:5fd5:9881","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TCP","2502","443  >  48176 [PSH, ACK] Seq=54693 Ack=2915 Win=73216 Len=2416 TSval=3994093815 TSecr=350033095 [TCP PDU reassembled in 1103]"
"1100","23.072497377","2600:9000:274d:5400:7:49a5:5fd5:9881","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TCP","2502","443  >  48176 [PSH, ACK] Seq=57109 Ack=2915 Win=73216 Len=2416 TSval=3994093816 TSecr=350033095 [TCP PDU reassembled in 1103]"
"1101","23.072528365","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2600:9000:274d:5400:7:49a5:5fd5:9881","TCP","86","48176  >  443 [ACK] Seq=2915 Ack=57109 Win=49152 Len=0 TSval=350033158 TSecr=3994093815"
"1102","23.072547948","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2600:9000:274d:5400:7:49a5:5fd5:9881","TCP","86","48176  >  443 [ACK] Seq=2915 Ack=59525 Win=54272 Len=0 TSval=350033158 TSecr=3994093816"
"1103","23.075551496","2600:9000:274d:5400:7:49a5:5fd5:9881","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TLSv1.3","2502","Application Data"
