"No.","Time","Source","Destination","Protocol","Length","Info"
"2159","23.674660136","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2600:9000:2394:fe00:1d:d7f6:39d5:bd01","TCP","86","38062  >  443 [ACK] Seq=8588 Ack=415991 Win=187392 Len=0 TSval=986382808 TSecr=1176364125"
"2160","23.674664358","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2600:9000:2394:fe00:1d:d7f6:39d5:bd01","TCP","86","38062  >  443 [ACK] Seq=8588 Ack=418407 Win=193536 Len=0 TSval=986382808 TSecr=1176364125"
"2161","23.674667082","2600:9000:2394:fe00:1d:d7f6:39d5:bd01","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TCP","1294","443  >  38062 [PSH, ACK] Seq=418407 Ack=8588 Win=90112 Len=1208 TSval=1176364125 TSecr=986382758 [TCP PDU reassembled in 2165]"
"2162","23.676564838","2600:9000:2394:fe00:1d:d7f6:39d5:bd01","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TCP","1294","443  >  38062 [ACK] Seq=419615 Ack=8588 Win=90112 Len=1208 TSval=1176364126 TSecr=986382758 [TCP PDU reassembled in 2165]"
"2163","23.676565252","2600:9000:2394:fe00:1d:d7f6:39d5:bd01","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","QUIC","169","Protected Payload (KP0), DCID=8ca9c0"
"2164","23.676565402","2600:9000:2394:fe00:1d:d7f6:39d5:bd01","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","QUIC","105","Protected Payload (KP0), DCID=8ca9c0"
"2165","23.676565065","2600:9000:2394:fe00:1d:d7f6:39d5:bd01","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TLSv1.3","1294","Application Data"
"2166","23.676565429","2600:9000:2394:fe00:1d:d7f6:39d5:bd01","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","QUIC","1514","Protected Payload (KP0), DCID=8ca9c0"
"2167","23.676565115","2600:9000:2394:fe00:1d:d7f6:39d5:bd01","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TCP","1294","443  >  38062 [PSH, ACK] Seq=422031 Ack=8588 Win=90112 Len=1208 TSval=1176364126 TSecr=986382758 [TCP PDU reassembled in 2172]"
"2168","23.676565143","2600:9000:2394:fe00:1d:d7f6:39d5:bd01","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TCP","1294","443  >  38062 [ACK] Seq=423239 Ack=8588 Win=90112 Len=1208 TSval=1176364127 TSecr=986382758 [TCP PDU reassembled in 2172]"
"2169","23.676565171","2600:9000:2394:fe00:1d:d7f6:39d5:bd01","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TCP","1294","443  >  38062 [ACK] Seq=424447 Ack=8588 Win=90112 Len=1208 TSval=1176364127 TSecr=986382758 [TCP PDU reassembled in 2172]"
"2170","23.676565200","2600:9000:2394:fe00:1d:d7f6:39d5:bd01","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TCP","1294","443  >  38062 [PSH, ACK] Seq=425655 Ack=8588 Win=90112 Len=1208 TSval=1176364127 TSecr=986382758 [TCP PDU reassembled in 2172]"
"2171","23.676565228","2600:9000:2394:fe00:1d:d7f6:39d5:bd01","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TCP","1294","443  >  38062 [ACK] Seq=426863 Ack=8588 Win=90112 Len=1208 TSval=1176364128 TSecr=986382758 [TCP PDU reassembled in 2172]"
"2172","23.676565257","2600:9000:2394:fe00:1d:d7f6:39d5:bd01","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TLSv1.3","1294","Application Data"
"2173","23.676587429","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2600:9000:2394:fe00:1d:d7f6:39d5:bd01","TCP","86","38062  >  443 [ACK] Seq=8588 Ack=420823 Win=198656 Len=0 TSval=986382810 TSecr=1176364125"
