"No.","Time","Source","Destination","Protocol","Length","Info"
"127","35.440765684","c2:a4:86:77:ef:21","Broadcast","XID","20","Basic Format; Type 1 LLC (Class I LLC); Window Size 0"
"128","35.841991319","0.0.0.0","255.255.255.255","DHCP","342","DHCP Discover - Transaction ID 0xdbc1b42a"
"129","36.252410255","AzureWaveTec_40:47:91","Broadcast","ARP","42","Who has 1.1.1.1? Tell 100.96.0.2"
"130","36.662905670","0.0.0.0","255.255.255.255","DHCP","342","DHCP Discover - Transaction ID 0x8cb9188c"
"131","37.275724928","AzureWaveTec_40:47:91","Broadcast","ARP","42","Who has 1.1.1.1? Tell 100.96.0.2"
"132","37.479881062","169.254.134.246","169.254.255.255","UDP","86","57621  >  57621 Len=44"
"133","38.098160519","AzureWaveTec_40:47:91","Broadcast","ARP","42","Who has 8.8.8.8? Tell 100.96.0.2"
"134","38.711839353","AzureWaveTec_40:47:91","Broadcast","ARP","42","Who has 1.1.1.1? Tell 100.96.0.2"
"135","38.914748270","0.0.0.0","255.255.255.255","DHCP","342","DHCP Discover - Transaction ID 0x8cb9188c"
"136","39.120435703","AzureWaveTec_40:47:91","Broadcast","ARP","42","Who has 8.8.8.8? Tell 100.96.0.2"
"137","39.942599391","AzureWaveTec_40:47:91","Broadcast","ARP","42","Who has 1.1.1.1? Tell 100.96.0.2"
"138","40.142801258","AzureWaveTec_40:47:91","Broadcast","ARP","42","Who has 8.8.8.8? Tell 100.96.0.2"
"139","40.756012956","AzureWaveTec_40:47:91","Broadcast","ARP","42","Who has 1.1.1.1? Tell 100.96.0.2"
